ConfigurationId;EvolutionOperation(delete-merge-extract);GuidanceIdFromPaper;PreservesBehavior
316;merge;M1;true
317;merge;M0;true
318;merge;M1;true
319;merge;M1;true
320;merge;M1;true
321;merge;M1;true
322;merge;M1;true
323;merge;M1;true
324;merge;M0;true
325;merge;M1;true
326;merge;M1;true
327;merge;M1;true
328;merge;M1;true
329;merge;M0;true
330;merge;M0;true
331;merge;M1;true
332;merge;M1;true
333;merge;M1;true
334;merge;M1;true
335;merge;M1;true
336;merge;M1;true
337;merge;M1;true
338;merge;M1;true
339;merge;M1;true
340;merge;M1;true
341;merge;M1;true
342;merge;M0;true
343;merge;M1;true
344;merge;M1;true
345;merge;M1;true
346;merge;M1;true
347;merge;M1;true
348;merge;M1;true
349;merge;M1;true
350;merge;M1;true
351;merge;M1;true
352;merge;M1;true
353;merge;M1;true
354;merge;M1;true
355;merge;M1;true
356;merge;M1;true
357;merge;M1;true
358;merge;M1;true
359;merge;M0;true
360;merge;M1;true
361;merge;M1;true
362;merge;M1;true
363;merge;M1;true
364;merge;M1;true
365;merge;M1;true
366;merge;M1;true
367;merge;M1;true
368;merge;M1;true
369;merge;M1;true
370;merge;M1;true
371;merge;M1;true
372;merge;M1;true
373;merge;M1;true
374;merge;M1;true
375;merge;M0;true
376;merge;M1;true
377;merge;M1;true
378;merge;M1;true
379;merge;M1;true
380;merge;M1;true
381;merge;M1;true
382;merge;M0;true
383;merge;M1;true
384;merge;M1;true
385;merge;M1;true
386;merge;M1;true
387;merge;M0;true
388;merge;M1;true
389;merge;M1;true
390;merge;M1;true
391;merge;M1;true
392;merge;M1;true
393;merge;M1;true
394;merge;M1;true
395;merge;M1;true
396;merge;M1;true
397;merge;M0;true
398;merge;M1;true
399;merge;M0;true
400;merge;M1;true
401;merge;M1;true
402;merge;M0;true
403;merge;M1;true
404;merge;M0;true
405;merge;M1;true
406;merge;M1;true
407;merge;M1;true
408;merge;M0;true
409;merge;M1;true
410;merge;M1;true
411;merge;M1;true
412;merge;M1;true
413;merge;M1;true
414;merge;M0;true
415;merge;M0;true
416;merge;M1;true
417;merge;M1;true
418;merge;M1;true
419;merge;M1;true
420;merge;M1;true
421;merge;M0;true
422;merge;M1;true
423;merge;M1;true
424;merge;M1;true
425;merge;M1;true
426;merge;M1;true
427;merge;M0;true
428;merge;M0;true
429;merge;M1;true
430;merge;M1;true
431;merge;M0;true
432;merge;M1;true
433;merge;M1;true
434;merge;M1;true
435;merge;M1;true
436;merge;M1;true
437;merge;M0;true
438;merge;M1;true
439;merge;M1;true
440;merge;M0;true
441;merge;M0;true
442;merge;M1;true
443;merge;M1;true
444;merge;M0;true
445;merge;M1;true
446;merge;M1;true
447;merge;M1;true
448;merge;M1;true
449;merge;M1;true
450;merge;M1;true
451;merge;M1;true
452;merge;M1;true
453;merge;M1;true
454;merge;M0;true
455;merge;M1;true
456;merge;M1;true
457;merge;M1;true
458;merge;M0;true
459;merge;M1;true
460;merge;M1;true
461;merge;M1;true
462;merge;M1;true
463;merge;M1;true
464;merge;M1;true
465;merge;M1;true
466;merge;M0;true
467;merge;M0;true
468;merge;M1;true
469;merge;M1;true
470;merge;M1;true
471;merge;M1;true
472;merge;M1;true
473;merge;M1;true
474;merge;M1;true
475;merge;M0;true
476;merge;M0;true
477;merge;M1;true
478;merge;M1;true
479;merge;M1;true
480;merge;M0;true
481;merge;M1;true
482;merge;M1;true
483;merge;M1;true
484;merge;M1;true
485;merge;M1;true
486;merge;M1;true
487;merge;M1;true
488;merge;M1;true
489;merge;M0;true
490;merge;M1;true
491;merge;M0;true
492;merge;M1;true
493;merge;M1;true
494;merge;M1;true
495;merge;M0;true
496;merge;M0;true
497;merge;M1;true
498;merge;M1;true
499;merge;M1;true
500;merge;M0;true
501;merge;M1;true
502;merge;M0;true
503;merge;M1;true
504;merge;M1;true
505;merge;M0;true
506;merge;M1;true
507;merge;M1;true
508;merge;M0;true
509;merge;M1;true
510;merge;M1;true
511;merge;M1;true
512;merge;M0;true
513;merge;M1;true
514;merge;M1;true
515;merge;M1;true
516;merge;M1;true
517;merge;M1;true
518;merge;M1;true
519;merge;M0;true
520;merge;M1;true
521;merge;M0;true
522;merge;M1;true
523;merge;M1;true
524;merge;M0;true
525;merge;M1;true
526;merge;M0;true
527;merge;M1;true
528;merge;M1;true
529;merge;M1;true
530;merge;M1;true
531;merge;M1;true
532;merge;M1;true
533;merge;M1;true
534;merge;M1;true
535;merge;M0;true
536;merge;M1;true
537;merge;M1;true
538;merge;M1;true
539;merge;M0;true
540;merge;M1;true
541;merge;M1;true
542;merge;M1;true
543;merge;M0;true
544;merge;M0;true
545;merge;M0;true
546;merge;M0;true
547;merge;M0;true
548;merge;M1;true
549;merge;M0;true
550;merge;M0;true
551;merge;M1;true
552;merge;M0;true
553;merge;M1;true
554;merge;M1;true
555;merge;M1;true
556;merge;M1;true
557;merge;M1;true
558;merge;M1;true
559;merge;M1;true
560;merge;M1;true
561;merge;M1;true
562;merge;M1;true
563;merge;M1;true
564;merge;M0;true
565;merge;M1;true
566;merge;M0;true
567;merge;M1;true
568;merge;M1;true
569;merge;M0;true
570;merge;M1;true
571;merge;M1;true
572;merge;M1;true
573;merge;M1;true
574;merge;M1;true
575;merge;M1;true
576;merge;M1;true
577;merge;M0;true
578;merge;M1;true
579;merge;M1;true
580;merge;M0;true
581;merge;M1;true
582;merge;M1;true
583;merge;M1;true
