ConfigurationId;EvolutionOperation(delete-merge-extract);GuidanceIdFromPaper;PreservesBehavior
316;merge;M0;true
317;merge;M0;true
318;merge;M0;true
319;merge;M2;false
320;merge;M3;false
321;merge;M0;true
322;merge;M0;true
323;merge;M3;false
324;merge;M1;true
325;merge;M0;true
326;merge;M0;true
327;merge;M0;true
328;merge;M0;true
329;merge;M3;false
330;merge;M0;true
331;merge;M1;true
332;merge;M0;true
333;merge;M0;true
334;merge;M3;false
335;merge;M0;true
336;merge;M1;true
337;merge;M1;true
338;merge;M1;true
339;merge;M1;true
340;merge;M0;true
341;merge;M0;true
342;merge;M3;false
343;merge;M0;true
344;merge;M0;true
345;merge;M0;true
346;merge;M0;true
347;merge;M0;true
348;merge;M1;true
349;merge;M0;true
350;merge;M0;true
351;merge;M0;true
352;merge;M0;true
353;merge;M3;false
354;merge;M3;false
355;merge;M0;true
356;merge;M0;true
357;merge;M0;true
358;merge;M1;true
359;merge;M0;true
360;merge;M2;false
361;merge;M0;true
362;merge;M0;true
363;merge;M0;true
364;merge;M0;true
365;merge;M0;true
366;merge;M0;true
367;merge;M0;true
368;merge;M1;true
369;merge;M0;true
370;merge;M3;false
371;merge;M0;true
372;merge;M1;true
373;merge;M0;true
374;merge;M3;false
375;merge;M3;false
376;merge;M0;true
377;merge;M1;true
378;merge;M0;true
379;merge;M0;true
380;merge;M0;true
381;merge;M1;true
382;merge;M3;false
383;merge;M3;false
384;merge;M0;true
385;merge;M1;true
386;merge;M2;false
387;merge;M0;true
388;merge;M0;true
389;merge;M0;true
390;merge;M0;true
391;merge;M2;false
392;merge;M0;true
393;merge;M1;true
394;merge;M3;false
395;merge;M1;true
396;merge;M3;false
397;merge;M3;false
398;merge;M0;true
399;merge;M1;true
400;merge;M3;false
401;merge;M0;true
402;merge;M0;true
403;merge;M2;false
404;merge;M0;true
405;merge;M0;true
406;merge;M0;true
407;merge;M0;true
408;merge;M0;true
409;merge;M0;true
410;merge;M1;true
411;merge;M0;true
412;merge;M1;true
413;merge;M3;false
414;merge;M0;true
415;merge;M3;false
416;merge;M3;false
417;merge;M3;false
418;merge;M1;true
419;merge;M0;true
420;merge;M0;true
421;merge;M1;true
422;merge;M1;true
423;merge;M0;true
424;merge;M0;true
425;merge;M0;true
426;merge;M0;true
427;merge;M3;false
428;merge;M0;true
429;merge;M0;true
430;merge;M0;true
431;merge;M3;false
432;merge;M0;true
433;merge;M0;true
434;merge;M0;true
435;merge;M0;true
436;merge;M0;true
437;merge;M0;true
438;merge;M3;false
439;merge;M3;false
440;merge;M3;false
441;merge;M0;true
442;merge;M1;true
443;merge;M3;false
444;merge;M0;true
445;merge;M0;true
446;merge;M0;true
447;merge;M1;true
448;merge;M0;true
449;merge;M1;true
450;merge;M1;true
451;merge;M3;false
452;merge;M0;true
453;merge;M1;true
454;merge;M0;true
455;merge;M1;true
456;merge;M2;false
457;merge;M3;false
458;merge;M2;false
459;merge;M3;false
460;merge;M0;true
461;merge;M1;true
462;merge;M0;true
463;merge;M0;true
464;merge;M0;true
465;merge;M0;true
466;merge;M1;true
467;merge;M3;false
468;merge;M0;true
469;merge;M0;true
470;merge;M0;true
471;merge;M0;true
472;merge;M0;true
473;merge;M1;true
474;merge;M0;true
475;merge;M0;true
476;merge;M3;false
477;merge;M0;true
478;merge;M0;true
479;merge;M3;false
480;merge;M0;true
481;merge;M0;true
482;merge;M0;true
483;merge;M0;true
484;merge;M0;true
485;merge;M1;true
486;merge;M0;true
487;merge;M0;true
488;merge;M2;false
489;merge;M0;true
490;merge;M3;false
491;merge;M0;true
492;merge;M0;true
493;merge;M1;true
494;merge;M0;true
495;merge;M3;false
496;merge;M1;true
497;merge;M2;false
498;merge;M0;true
499;merge;M0;true
500;merge;M0;true
501;merge;M2;false
502;merge;M1;true
503;merge;M1;true
504;merge;M1;true
505;merge;M3;false
506;merge;M3;false
507;merge;M0;true
508;merge;M0;true
509;merge;M0;true
510;merge;M0;true
511;merge;M3;false
512;merge;M0;true
513;merge;M3;false
514;merge;M0;true
515;merge;M1;true
516;merge;M0;true
517;merge;M1;true
518;merge;M0;true
519;merge;M0;true
520;merge;M0;true
521;merge;M0;true
522;merge;M0;true
523;merge;M0;true
524;merge;M0;true
525;merge;M0;true
526;merge;M0;true
527;merge;M0;true
528;merge;M0;true
529;merge;M0;true
530;merge;M0;true
531;merge;M0;true
532;merge;M3;false
533;merge;M0;true
534;merge;M0;true
535;merge;M1;true
536;merge;M1;true
537;merge;M2;false
538;merge;M0;true
539;merge;M0;true
540;merge;M0;true
541;merge;M3;false
542;merge;M0;true
543;merge;M0;true
544;merge;M1;true
545;merge;M1;true
546;merge;M0;true
547;merge;M0;true
548;merge;M3;false
549;merge;M0;true
550;merge;M2;false
551;merge;M3;false
552;merge;M0;true
553;merge;M0;true
554;merge;M3;false
555;merge;M0;true
556;merge;M0;true
557;merge;M3;false
558;merge;M3;false
559;merge;M0;true
560;merge;M0;true
561;merge;M3;false
562;merge;M2;false
563;merge;M0;true
564;merge;M0;true
565;merge;M0;true
566;merge;M0;true
567;merge;M3;false
568;merge;M1;true
569;merge;M0;true
570;merge;M0;true
571;merge;M0;true
572;merge;M3;false
573;merge;M0;true
574;merge;M3;false
575;merge;M0;true
576;merge;M0;true
577;merge;M0;true
578;merge;M0;true
579;merge;M0;true
580;merge;M0;true
581;merge;M0;true
582;merge;M0;true
583;merge;M1;true
584;merge;M3;false
585;merge;M0;true
586;merge;M2;false
587;merge;M0;true
588;merge;M0;true
589;merge;M0;true
590;merge;M0;true
591;merge;M3;false
592;merge;M0;true
593;merge;M3;false
594;merge;M0;true
595;merge;M3;false
596;merge;M2;false
597;merge;M1;true
598;merge;M0;true
599;merge;M0;true
600;merge;M1;true
601;merge;M1;true
602;merge;M1;true
603;merge;M0;true
604;merge;M0;true
605;merge;M3;false
606;merge;M1;true
607;merge;M0;true
608;merge;M2;false
609;merge;M2;false
610;merge;M0;true
611;merge;M0;true
612;merge;M0;true
613;merge;M0;true
614;merge;M3;false
615;merge;M0;true
616;merge;M0;true
617;merge;M1;true
618;merge;M0;true
619;merge;M0;true
620;merge;M0;true
621;merge;M0;true
622;merge;M0;true
623;merge;M0;true
624;merge;M3;false
625;merge;M1;true
626;merge;M0;true
627;merge;M0;true
628;merge;M0;true
629;merge;M0;true
630;merge;M0;true
631;merge;M0;true
632;merge;M1;true
633;merge;M0;true
634;merge;M0;true
635;merge;M0;true
636;merge;M3;false
637;merge;M3;false
638;merge;M0;true
639;merge;M0;true
640;merge;M2;false
641;merge;M0;true
642;merge;M0;true
643;merge;M0;true
644;merge;M0;true
645;merge;M0;true
646;merge;M3;false
647;merge;M0;true
648;merge;M3;false
649;merge;M0;true
650;merge;M0;true
651;merge;M0;true
652;merge;M0;true
653;merge;M0;true
654;merge;M0;true
655;merge;M0;true
656;merge;M0;true
657;merge;M1;true
658;merge;M0;true
659;merge;M0;true
660;merge;M0;true
661;merge;M2;false
662;merge;M0;true
663;merge;M3;false
664;merge;M2;false
665;merge;M0;true
666;merge;M0;true
667;merge;M0;true
668;merge;M3;false
669;merge;M0;true
670;merge;M2;false
671;merge;M0;true
672;merge;M3;false
673;merge;M0;true
674;merge;M0;true
675;merge;M3;false
676;merge;M3;false
677;merge;M0;true
678;merge;M2;false
679;merge;M0;true
680;merge;M0;true
681;merge;M0;true
682;merge;M0;true
683;merge;M0;true
684;merge;M1;true
685;merge;M3;false
686;merge;M2;false
687;merge;M1;true
688;merge;M3;false
689;merge;M1;true
690;merge;M0;true
691;merge;M0;true
692;merge;M3;false
693;merge;M1;true
694;merge;M0;true
695;merge;M0;true
696;merge;M0;true
697;merge;M0;true
698;merge;M0;true
699;merge;M0;true
700;merge;M1;true
701;merge;M1;true
702;merge;M0;true
703;merge;M0;true
704;merge;M0;true
705;merge;M2;false
706;merge;M0;true
707;merge;M0;true
708;merge;M1;true
709;merge;M1;true
710;merge;M0;true
711;merge;M0;true
712;merge;M0;true
713;merge;M0;true
714;merge;M3;false
715;merge;M0;true
716;merge;M0;true
717;merge;M3;false
718;merge;M0;true
719;merge;M0;true
720;merge;M0;true
721;merge;M1;true
722;merge;M0;true
723;merge;M3;false
724;merge;M3;false
725;merge;M2;false
